,Name,Category,Rating,Flickable,Episode Number,Notes
0,Zoolander 2,Movie,7.0,Yes,10,The very first flickin!
1,Dope,Movie,8.5,Yes,11,
2,The Big Short,Movie,8.0,Yes,12,Gary had to read Caelan's notes since Caelan had a mouth issue
3,Deadpool,Movie,10.0,Yes,13,
4,Vinyl,TV Show,7.5,Yes,15,
5,The Martian,Movie,8.0,Yes,17,
6,Seinfeld,TV Show,10.0,Yes,18,"Not formally flicked; Somebody randomly asked Caelan for the score on the fly, which he provided but did not formally mention if it was flickable; in a much later episode elaborates that it is indeed flickable"
7,Hardcore Henry,Movie,7.5,Yes,19,
8,The entire Harry Potter series,Other,8.0,Yes,20,"*All movies are Flickable except for the second to last, which is unflickable"
9,Free socks from Taylor in Florida,Other,7.0,Yes,20,
10,Animaniacs,TV Show,5.0,No,21,First ever lightning round!
11,San Andreas,Movie,4.0,No,21,Had not actually seen the movie when he made this review.
12,Hockey,Other,8.5,Yes,21,
13,Tonsil Hockey,Other,0.0,No,21,Did not know what this was but stuck to this score even after learning it's real meaning
14,Jelly Beans,Food,5.0,No,21,
15,Terminator,Movie,10.0,No,21,"Acknowledges it is a great movie, but doesn't like watching his dad make love onscreen"
16,The United Kingdom,Other,9.0,Yes,21,
17,Black Starbucks Coffee,Food,1.0,No,21,
18,Beans,Food,10.0,Yes,21,Forgot he had just rated jelly beans as lower than 10 but stuck with this verdict anyway
19,Game of Thrones S06E01,TV Show,9.5,No,21,
20,All you can eat buffet at Dodger Stadium,Food,10.0,Yes,21,"Claims is ""unofficial"" because he hasn't tried it,"
21,WWE,TV Show,5.0,Yes,22,Start of second lightning round!
22,Nick Davis eating wings very quickly,Other,9.0,No,22,
23,Guys who recently got married and won't stop talking about it,Other,,Yes,22,Probably in reference to Matt's recent wedding; didn't give a formal score
24,Big fake butts,Other,10.0,Yes,22,
25,Peanut butter and jelly beer,Food,7.0,Yes,22,
26,"Gary's mom, Laura Lee",Person,9.0,No,22,This is the episode Laura Lee called into for Mother's Day
27,Captain America: Civil War,Movie,8.0,Yes,23,
28,Captain Hook,Other,9.0,Yes,23,Another lightning round begins
29,Cap'n Crunch,Food,4.0,No,23,
30,Captain Jack by Billy Joel,Other,5.0,No,23,Admittedly does not know what this is and rated it anyway
31,Captain Morgan,Food,9.5,Yes,23,
32,Captain Kirk,Other,7.0,No,23,
33,Captain Chaos (aka Dawson's fictional superhero),Other,1.0,Yes,23,
34,Captain Planet,Other,6.0,Yes,23,Mistook this as Don Cheadle's War Machine
35,Captain Philips (the man),Other,8.0,Yes,23,
36,All the Way,Movie,9.5,Yes,25,
37,President FDR,Person,10.0,Yes,25,Start of another lightning round
38,President George Washington,Person,8.0,Yes,25,
39,Peanut butter and jelly sandwich,Food,6.0,Yes,25,
40,Gary's review of the movie Neighbors 2,Other,8.0,Yes,26,
41,Courage to Grow album,Other,9.0,Yes,26,
42,A neck pillow Matt bought for his honeymoon,Other,,Yes,27,Flickable because it literally looked flickable; wouldn't formally score it until after using it
43,The Man from U.N.C.L.E.,Movie,7.5,Yes,27,
44,Latest episode of GoT,Other,8.5,No,27,Facebook live lightning round! (Will have to check which episode this is later)
45,Adam's hygiene habits,Other,9.0,No,27,
46,William Thickner,Other,5.0,Yes,27,
47,Mr. Bean,TV Show,6.0,No,27,
48,Matt Fondiler's toes,Other,10.0,Yes,27,
49,Getting a PhD,Other,10.0,Yes,27,
50,Gummy worms,Food,3.0,No,27,
51,Chef,Movie,9.0,Yes,32,
52,Jim Jeffries Netflix Special,TV Show,9.0,Yes,32,
53,Independence Day: Resurgence,Movie,3.0,Yes,33,First live show!
54,Ottoman (chair),Other,9.0,Yes,33,Live show lightning round
55,Minnesota Vikings,Other,2.0,No,33,
56,Vikings,Other,2.0,Yes,33,
57,Pokémon Go,Other,8.0,No,33,
58,Elon Musk,Person,10.0,Yes,33,
59,Stranger Things - Season 1,TV Show,7.5,Yes,35,
60,Hurdles,Other,5.0,No,35,Start of Olympics themed lightning round
61,Ping Pong,Other,8.0,Yes,35,
62,Pole Vault,Other,4.0,Yes,35,
63,Surfing,Other,6.0,No,35,
64,Basketball,Other,9.0,Yes,35,
65,Soccer,Other,8.0,No,35,
66,Watching golf,Other,2.0,No,35,
67,Silicon Valley,TV Show,6.0,No,35,
68,Swimming,Other,5.0,No,35,
69,Boxing,Other,8.0,Yes,35,
70,Javelin,Other,5.5,Yes,35,
71,Getting Stabbed,Other,0.0,No,38,
72,Getting Shot,Other,3.0,No,38,
73,Suicide Squad,Movie,4.0,Yes,38,
74,Taylor (the guy who got shot and stabbed),Person,9.0,Yes,40,
75,South Park - S20E01,TV Show,10.0,Yes,41,
76,American Horror Story - S03E01,TV Show,5.0,Yes,41,
77,Steve Jobs,Movie,7.5,Yes,43,"""Barely"" Flickable"
78,Steve Jobs,Person,10.0,No,43,
79,Luke Cage,TV Show,8.0,Yes,44,
80,Reversible socks,Other,0.0,No,44,"""I reverse my own socks."""
81,Hand Clap by Fitz and the Tantrums,Other,7.5,Yes,48,
82,Tickled,Movie,8.0,Yes,49,
83,Ivanka Trump,Person,3.0,Yes,49,Facebook live lightening round
84,Adam Carolla's beard,Other,5.0,No,49,
85,Tickling competitions,Other,8.0,Yes,49,
86,Dawson's Willy hat,Other,7.0,Yes,49,"""The trucker hat adds to the Dawson-ness, but you can't give a trucker hat a high score."""
87,White power,Other,0.0,No,49,
88,Country and western music,Other,7.0,No,49,
89,Having your dad be a movie star,Other,10.0,Yes,49,
90,Arrival,Movie,8.5,Yes,51,
91,The Jungle Book,Movie,9.5,Yes,52,
92,Why Him,Movie,8.0,Yes,53,
93,Office Christmas Party,Movie,7.0,Yes,53,
94,Assassin's Creed,Movie,1.5,No,54,
95,Sing,Movie,6.0,Yes,55,
96,Sherlock - S04E01,TV Show,6.0,Yes,56,
97,A Series of Unfortunate Events,TV Show,8.5,No,56,
98,Young Pope (E01 & E02),TV Show,7.0,Yes,56,
99,Hell or High Water,Movie,7.0,Yes,58,
100,Pabst Blue Ribbon,Food,4.0,No,61,
101,Taboo (Season 1),TV Show,9.0,Yes,61,
102,Santa Clarita Diet,TV Show,7.5,Yes,61,
103,Logan,Movie,9.0,Yes,63,
104,National Women's Day,Other,10.0,Yes,63,
105,Not going to work on National Women's Day,Other,7.5,No,63,
106,Pub Golf,Other,,Yes,65,Abstained from giving an official score since he hadn't actually played it himself
107,Caelan's trip to Yosemite with Dawson and Doug Laux,Other,8.0,Yes,71,"1 point off for Ringo scaring him by running into the river, 1 point off for not catching any fish"
108,Neil DeGrasse Tyson,Person,9.5,Yes,72,
109,Bill Nye,Person,7.0,Yes,72,
110,Dylan Wrenn's opinion about Neil DeGrasse Tyson,Other,,No,72,Was so disgusted by this that he refused to even score it
111,Sonic's,Food,0.0,No,73,Got very pissed and went on a mini rant about Sonic's
112,Alien: Covenant,Movie,8.0,Yes,74,
113,Apple pie tube food,Food,8.5,Yes,74,
114,Gomorrah (Season 1),TV Show,9.5,Yes,75,
115,Pizza,Food,10.0,Yes,75,
116,Jack in the Box tacos,Food,6.0,No,75,
117,S'mores,Food,3.5,No,75,
118,Summer vacation,Other,10.0,Yes,75,
119,Sending caelan free Boston baked beans,Other,10.0,Yes,81,
120,Spider-Man: Homecoming,Movie,7.0,Yes,81,
121,Teenage Mutant Ninja Turtles,Other,6.5,Yes,82,
122,Ozark (Season 1),TV Show,7.0,Yes,83,
123,The Belko Experiment,Movie,7.0,Yes,86,Self imposed lightning round!
124,"Guardians of the Galaxy, Vol. 2",Movie,4.5,No,86,Admitted it would probably have been better if he was high
125,Get Out,Movie,9.5,Yes,86,
126,Don't Breathe,Movie,8.0,Yes,86,
127,Hannah,Movie,8.5,Yes,86,
128,Dunkirk,Movie,8.5,Yes,86,
129,Fantastic Beasts and Where to Find Them,Movie,7.0,Yes,86,
130,Life,Movie,3.0,No,86,
131,The Defenders,TV Show,6.0,Yes,86,
132,Rick and Marty (Season 1),TV Show,10.0,Yes,86,
133,Imperium,Movie,7.0,Yes,86,
134,Death Note,Movie,0.5,No,87,
135,Little Evil,Movie,7.0,Yes,89,
136,Gerald's Game,Movie,7.5,Yes,93,
137,The Meyerowitz Stories,Movie,6.0,No,94,
138,100 Grand Candy Bar,Food,5.0,Yes ,96,
139,Snickers (Unrefrigerated),Food,5.5,Yes,96,
140,Snickers (Refrigerated),Food,6.5,Yes,96,
141,Reese's Pieces,Food,3.0,No,96,
142,Reese's Peanut Butter Cup,Food,3.0,Yes,96,
143,Twix,Food,2.0,No,96,
144,Whatchamacallit,Food,0.0,No,96,"Didn't know what this is, gave it a zero anyway"
145,Chris sniffing chocolate,Food,9.0,No,96,
146,The Mist,TV Show,7.5,Yes,97,
147,The Mist,Movie,7.0,Yes,97,
148,Jigsaw (character),Other,5.0,Yes,100,
149,Swingers,Movie,7.0,Yes,100,
150,Bartenders on the Carolla cruise,Other,10.0,Yes,100,
151,Schindler's List,Movie,8.0,Yes,100,
152,Michael Biehn,Person,10.0,Yes,100,
153,Mixed berry e-cigarette,Other,3.0,No,100,
154,The Darkest Hour,Movie,7.5,Yes,104,
155,Three Billboards Outside Ebbing Missouri,Movie,6.5,No,105,
156,Ladybird,Movie,5.0,Yes,105,
157,Futile and Stupid Gesture,Movie,7.5,Yes,106,
158,Any ghost experience,Other,5.0,Yes,108,Live show at Lake Arrowhead!
159,Gary calling a cab and then walking away without paying for it,Other,9.0,Yes,108,...because Gary was used to Uber
160,The Cloverfield Paradox,Movie,2.0,No,109,
161,Black Panther,Movie,7.5,Yes,110,
162,Santa Clarita Diet,TV Show,8.0,Yes,114,
163,Caelan's little bro,Person,10.0,Yes,114,
164,Ready Player One,Movie,7.5,Yes,115,
165,A Quiet Place,Movie,9.0,Yes,116,
166,Avengers: Infinity War,Movie,8.0,Yes,120,
167,God of War (2018),Other,9.5,Yes,122,
168,Walking Dead (2018 season),TV Show,4.0,No,122,From Lynette Carolla
169,Caelan's own theme song,Other,9.0,Yes,123,Debut of the theme song we all know and love
170,Basketball Eastern conference finals,Other,9.0,Yes,123,
171,Basketball western conference finals,Other,9.0,Yes,123,
172,The Disaster Artist,Movie,9.5,Yes,125,
173,Kidney bean,Food,2.0,No,126,
174,Billions,TV Show,8.0,Yes,127,
175,Annihilation,Movie,3.0,No,128,
176,Sicario Day of the Soldado ,Movie,5.0,Yes,129,
177,Mission Impossible: Fallout,Movie,9.0,Yes,132,
178,It Comes at Night,Movie,8.5,Yes,135,
179,Hush,Movie,7.0,Yes,135,
180,The Conjuring 2,Movie,6.5,Yes,135,
181,Annabelle Creation,Movie,7.5,Yes,135,
182,The Witch,Movie,8.0,Yes,135,
183,The Ritual,Movie,6.0,No,135,
184,Unbreakable,Movie,9.0,Yes,135,
185,Patient Zero,Movie,5.0,No,135,
186,Deadpool 2,Movie,8.0,Yes,135,
187,Raw,Movie,6.0,No,135,
188,Littlest Reich,Movie,6.5,Yes,135,
189,Jigsaw,Movie,2.0,No,135,
190,The Endless,Movie,5.0,No,135,
191,Happy Death Day,Movie,7.5,Yes,135,
192,Hereditary,Movie,9.5,Yes,136,
193,Isle of Dogs,Movie,8.0,Yes,137,
194,The Shape of Water,Movie,7.5,Yes,138,
195,Hold the Dark,Movie,5.0,Yes,139,
196,A Star is Born,Movie,9.0,Yes,140,
197,Jack Ryan (Season 1),TV Show,8.0,Yes,142,
198,You Were Never Really Here,Movie,5.0,No,143,
199,Outlaw King,Movie,7.5,Yes,146,
200,Candy cane,Food,6.0,Yes,147,
201,Bodyguard,TV Show,7.5,Yes,147,
202,The Christmas Chronicles,Movie,8.0,Yes,149,
203,Bohemian Rhapsody,Movie,8.0,Yes,150,
204,Bandersnatch,Movie,9.6,Yes,151,First rating that wasn't an even .0 or .5
205,Bird Box,Movie,7.5,Yes,152,Also the same episode where the guys did the Bird Box challenge
206,Polar,Movie,5.2,Yes,155,
207,Kingdom,TV Show,8.8,Yes,156,
208,Alita Battle Angel,Movie,8.6,Yes,157,
209,The experience of watching Alita battle Angel in 3-D in a theater,Other,10.0,Yes,157,
210,Resident Evil 2 Remastered,Other,9.4,Yes,160,
211,Donovan,Person,9.0,Yes,160,
212,Laxi (band),Other,9.6,Yes,160,
213,The band name Laxi,Other,8.0,Yes,160,
214,Triple Frontier,Movie,4.7,No,162,
215,The Dirt,Movie,6.9,Yes,163,
216,The Highwaymen,Movie,3.0,No,165,
217,The Silence,Movie,0.9,No,166,Only got the 0.9 because Caelan likes Stanley Tucci 
218,Avengers: Endgame,Movie,9.7,Yes,169,
219,Pet Sematary,Movie,4.6,No,170,
220,Game of Thrones (full TV series),TV Show,8.9,Yes,171,
221,The Perfection,Movie,6.0,Yes,172,
222,Bad Times at the El Royale,Movie,7.4,Yes,174,
223,Rocketman ,Movie,9.3,Yes,177,
224,Isla (Caelan's first daughter),Person,9.0,Yes,177,The infamous rating!
225,Gone Baby Gone,Movie,8.0,Yes,180,First review after Caelan's big health scare
226,Having pneumonia,Other,0.0,No,182,
227,Dave Chappelle: Sticks and Stones,Other,9.1,Yes,183,
228,Jim Gaffigan: Quality Time,Other,9.1,Yes,183,
229,Ad Astra,Movie,6.8,Yes,186,
230,Joker,Movie,9.6,Yes,192,
231,El Camino,Movie,6.1,Yes,192,
232,Midsommar,Movie,3.2,No,192,
233,The King,Movie,7.7,Yes,197,
234,Midnight Family,Movie,6.1,Yes,198,
235,Watchmen (Season 1),TV Show,8.8,Yes,199,
236,Screwdriver (drink),Food,3.4,No,204,The Biehn Scale Game!
237,Von's (the grocery store),Other,4.9,No,204,"""What is the point in a Von's if you have a Ralph's?"""
238,Grass (like a lawn),Other,8.9,Yes,204,"Loves smell and walking barefoot, except it's itchy and has bugs"
239,"The word ""facetious""",Other,9.4,Yes,204,"""So fun to say and has a great meaning."""
240,South Dakota,Other,3.2,No,204,"""What's the point in having two Dakotas?"""
241,Outsider (Season 1),TV Show,6.2,No,208,
242,Being in quarantine,Other,5.5,Yes,209,First show when COVID hit big
243,The Hunt,Movie,3.5,No,210,
244,The Invisible Man,Movie,8.1,Yes,212,
245,The Platform,Movie,7.4,Yes,213,
246,Lock and Key,TV Show,6.2,Yes,215,
247,Edward Scissorhands,Movie,5.8,No,218,
248,The Gentlemen,Movie,7.8,Yes,218,
249,Kung Fu Hustle,Movie,8.9,Yes,219,
250,Waco,TV Show,8.6,Yes,221,
251,Starship Troopers,Movie,9.4,Yes,222,
252,Signs,Movie,6.6,Yes,222,
253,21 Jump Street,Movie,8.0,Yes,223,
254,Extraction,Movie,6.1,Yes,224,
255,The Shield (Season 1),TV Show,8.1,Yes,224,
256,A Bronx Tale,Movie,8.6,Yes,228,
257,Jumanji,Movie,9.7,Yes,230,
258,Jumanji: Welcome to the Jungle,Movie,5.9,Yes,230,
259,Jumanji: Next Level,Movie,3.0,No,230,"Technically scored by Matt, but Caelan officially allowed it. My AI's brain is going to explode."
260,Ready or Not,Movie,4.4,No,233,
261,Crawl,Movie,7.5,Yes,238,
262,Gouda cheese,Food,5.1,Yes,239,
263,The Biehn scale itself,Other,9.9,Yes,239,As requested by Jeff Cesario
264,Eurovision Song Contest: The Story of Fire Saga,Movie,5.3,Yes,239,
265,The Old Guard,Movie,6.0,Yes,240,
266,Dracula (TV Miniseries),TV Show,8.1,Yes,242,
267,Booksmart,Movie,8.1,Yes,244,
268,Caelan's second daughter,Person,9.1,Yes,246,
269,Some cold cut from some unnamed Italian deli,Food,9.7,Yes,246,
270,Project Power,Movie,3.9,No,247,
271,An American Pickle,Movie,3.2,No,249,
272,The Social Dilemma,Movie,9.6,Yes,250,
273,Doctor Sleep,Movie,9.1,Yes,251,
274,Black Box,Movie,6.2,Yes,253,
275,The Haunting of Bly Manor,TV Show,5.5,No,254,
276,Borat Subsequent Moviefilm,Movie,9.3,Yes,256,
277,Turquoise (the color),Other,7.1,No,257,The Biehn Scale game!
278,Uranium,Other,8.8,Yes,257,
279,Mac n cheese on Thanksgiving,Other,8.6,No,257,
280,Mercury (the planet),Other,4.4,No,257,"""What a boring planet."""
281,Birds,Other,7.7,Yes,257,
282,The Queen's Gambit,TV Show,8.0,Yes,258,
283,Prospect,Movie,8.8,Yes,258,
284,Jingle Jangle,Movie,8.1,Yes,262,
285,The Mandalorian (Season 2),TV Show,9.7,Yes,263,
286,Michelle Pfeiffer as Catwoman,Other,10.0,Yes,263,
287,Mank,Movie,7.2,Yes,264,
288,The King of Staten Island,Movie,7.1,Yes,265,
289,Tenet,Movie,7.6,Yes,266,
290,Lupin,TV Show,7.1,Yes,267,
291,The Little Things,Movie,5.8,No,268,
292,The Night Stalker,TV Show,6.0,Yes,269,
293,Good Time,Movie,7.7,Yes,272,Technically unflickable if you have already seen Uncut Gems. God dammit Caelan. 
294,Boss Level,Movie,7.7,Yes,273,
0,Scary Stories to Tell in the Dark,Movie,6.2,Yes,P1,
1,Palm Springs,Movie,8.9,Yes,P2,
2,Dark,TV Show,8.1,Yes,P8,
3,Uncut Gems,Movie,8.2,Yes,P9,
4,Birds of Prey,Movie,7.3,Yes,P10,
5,The Babysitter: Killer Queen,Movie,2.8,No,P11,
6,The Way Back,Movie,6.3,Yes,P12,
7,Tuna casserole ,Food,7.5,Yes,P14,
8,The Outpost,Movie,8.1,Yes,P14,
9,Nocturne,Movie,3.1,No,P17,
10,Evil Eye,Movie,2.6,No,P17,
11,The American Barbecue Showdown,TV Show,5.8,No,P18,
12,The Dead Don't Die,Movie,4.3,No,P20,
13,The Christmas Chronicles 2,Movie,6.1,Yes,P23,
14,On the Rocks,Movie,5.3,No,P23,
15,Wonder Woman: 1984,Movie,3.3,No,P26,
16,Alice in Borderland (Season 1),TV Show,5.9,Yes,P28,
17,Run,Movie,8.2,Yes,P29,
18,Sputnik,Movie,6.7,Yes,P30,
19,In and Of Itself,Other,9.7,Yes,P32,
20,30 Coins (Season 1),TV Show,6.6,Yes,P33,
0,Beverly Hills Ninja,Movie,8.6,Yes,M1,
1,The Girl Next Door,Movie,7.3,No,M2,
2,Talladega Nights: The Ballad of Ricky Bobby,Movie,8.9,Yes,M3,
3,Air Force One,Movie,,,M4,
4,Pineapple Express,Movie,9.7,Yes,M6,
5,Road Trip,Movie,7.0,Yes,M7,
6,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Movie,3.1,Yes,M12,
